"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","series","view"
"18-ZHRD-P-RH2.txt","ZH_R_D_18_P","18","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"19-ZHUA-L-LH1.txt","ZH_U_A_19_L","19","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"19-ZHUA-L-LH2.txt","ZH_U_A_19_L","19","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"19-ZHUA-L-RH1.txt","ZH_U_A_19_L","19","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"19-ZHUA-L-RH2.txt","ZH_U_A_19_L","19","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"19-ZHUA-P-LH1.txt","ZH_U_A_19_P","19","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"19-ZHUA-P-LH2.txt","ZH_U_A_19_P","19","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"19-ZHUA-P-RH1.txt","ZH_U_A_19_P","19","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"19-ZHUA-P-RH2.txt","ZH_U_A_19_P","19","ZH","U","Urban","A","ZH-A","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"19-ZHUC-P-LH1.txt","ZH_U_C_19_P","19","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",1,"Dorsal"
"19-ZHUC-P-LH2.txt","ZH_U_C_19_P","19","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Left","Hindwing",2,"Ventral"
"19-ZHUC-P-RH1.txt","ZH_U_C_19_P","19","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",1,"Dorsal"
"19-ZHUC-P-RH2.txt","ZH_U_C_19_P","19","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Right","Hindwing",2,"Ventral"
"21-ZHRE-L-LH1.txt","ZH_R_E_21_L","21","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"21-ZHRE-L-LH2.txt","ZH_R_E_21_L","21","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"21-ZHRE-L-RH1.txt","ZH_R_E_21_L","21","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"21-ZHRE-L-RH2.txt","ZH_R_E_21_L","21","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"21-ZHUB-L-LH1.txt","ZH_U_B_21_L","21","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"21-ZHUB-L-LH2.txt","ZH_U_B_21_L","21","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"21-ZHUB-L-RH1.txt","ZH_U_B_21_L","21","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"21-ZHUB-L-RH2.txt","ZH_U_B_21_L","21","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"23-ZHUB-L-LH1.txt","ZH_U_B_23_L","23","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"23-ZHUB-L-LH2.txt","ZH_U_B_23_L","23","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"23-ZHUB-L-RH1.txt","ZH_U_B_23_L","23","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"23-ZHUB-L-RH2.txt","ZH_U_B_23_L","23","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"24-ZHRF-L-LH1.txt","ZH_R_F_24_L","24","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"24-ZHRF-L-LH2.txt","ZH_R_F_24_L","24","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
"24-ZHRF-L-RH1.txt","ZH_R_F_24_L","24","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",1,"Dorsal"
"24-ZHRF-L-RH2.txt","ZH_R_F_24_L","24","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Hindwing",2,"Ventral"
"26-ZHRE-L-LH1.txt","ZH_R_E_26_L","26","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",1,"Dorsal"
"26-ZHRE-L-LH2.txt","ZH_R_E_26_L","26","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Hindwing",2,"Ventral"
