"removed_n","landmarks_used","removed_landmarks","mean_ME","mean_FA","FA_ME_ratio","rho_vs_full"
0,21,"none",0.00182817658828884,1.00088119126614,547.47511683374,1
1,20,"LM18",0.00187420967992373,1.00051685003157,533.8339998715,0.995652173913043
2,19,"LM18,LM20",0.00192775552044003,1.00011812344997,518.799252729764,0.991304347826087
3,18,"LM18,LM20,LM6",0.00194645119046331,1.00012018268939,513.817242163331,0.981739130434783
4,17,"LM18,LM20,LM6,LM1",0.00166312206095003,1.00013718591296,601.361264693735,0.953043478260869
5,16,"LM18,LM20,LM6,LM1,LM19",0.00171138306517367,1.00014290854622,584.406220266486,0.665217391304348
