"landmark","ME_mean"
"LM18",0.00676304639218907
"LM20",0.00651951890597625
"LM6",0.00203400594958358
"LM1",0.0019100460030128
"LM19",0.00176312982631353
"LM5",0.00159123346002099
"LM21",0.00158259736732301
"LM2",0.00158120426595254
"LM13",0.0015698647658961
"LM17",0.00145289386977651
"LM15",0.00142967066987428
"LM7",0.00138605304278408
"LM8",0.00126793713330893
"LM4",0.00122289711166282
"LM12",0.00103827739007362
"LM16",0.0010091404214857
"LM3",0.000989900368119432
"LM9",0.000907514755591007
"LM11",0.000890945993371911
"LM14",0.000856838710114025
"LM10",0.000624991951635483
