"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_U_A_24_L",1.00029456048548,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_25_L",1.00008575487343,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_26_L",1.00009496690335,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_27_L",1.00006095377276,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_28_L",1.00012983906168,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_30_L",1.00007989971543,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_32_L",1.00008248506519,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_B_01_L",1.00008114090141,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_02_L",1.00006915930723,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_03_L",1.00009003067472,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_04_L",1.00005213450194,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_05_L",1.00010563996351,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_07_L",1.00008424598609,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_08_L",1.00022692654653,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_09_L",1.00009802384039,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_16_L",1.00006593928255,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_18_L",1.00018563936275,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_22_L",1.00009255987661,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_25_L",1.00004707596138,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_26_L",1.00011280697269,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_27_L",1.00010821094818,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_28_L",1.00008689286102,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_29_L",1.00010006623729,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_30_L",1.00006745397413,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_32_L",1.00006381714773,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_36_L",1.00008814957036,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_38_L",1.00009871079553,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_C_01_L",1.00009662737106,"Urban","Bombus lapidarius","ZH-C"
