"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_U_A_25_P",1.00010252957546,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_27_P",1.00021134339157,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_30_P",1.0000810056494,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_32_P",1.00017662089257,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_33_P",1.00011849419948,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_36_P",1.00017259044789,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_A_37_P",1.00010493495346,"Urban","Bombus pascuorum","ZH-A"
"ZH_U_B_01_P",1.00007889474865,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_05_P",1.00007302820833,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_08_P",1.00016182022297,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_09_P",1.00011288328097,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_13_P",1.00007180830375,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_15_P",1.00024793695307,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_16_P",1.00009769706156,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_17_P",1.00009641046397,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_21_P",1.00007292673693,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_22_P",1.00009434738397,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_24_P",1.00007261431036,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_26_P",1.00008890569497,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_28_P",1.00014905108672,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_30_P",1.00013348106511,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_31_P",1.00005619732562,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_32_P",1.00006909724677,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_34_P",1.00014755712707,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_35_P",1.00007089047017,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_36_P",1.00012614583389,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_B_37_P",1.00019509324225,"Urban","Bombus pascuorum","ZH-B"
"ZH_U_C_02_P",1.00006057923394,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_03_P",1.00021856528961,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_04_P",1.00019839116647,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_05_P",1.00017621767862,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_06_P",1.00020666601473,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_07_P",1.00019629704539,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_08_P",1.00009586807735,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_10_P",1.00024965310431,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_11_P",1.00016201926844,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_12_P",1.00005863234187,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_14_P",1.00003926154936,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_16_P",1.00008011448531,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_20_P",1.00014369689616,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_22_P",1.00011338832479,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_23_P",1.00023443267564,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_25_P",1.00008655379074,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_27_P",1.00010639276599,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_28_P",1.00009335814101,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_31_P",1.0002011312616,"Urban","Bombus pascuorum","ZH-C"
"ZH_U_C_32_P",1.00010874137907,"Urban","Bombus pascuorum","ZH-C"
