"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"05-ZHRD-L-LF1.txt","ZH_R_D_05_L","05","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"05-ZHRD-L-RF1.txt","ZH_R_D_05_L","05","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"05-ZHRE-L-LF1.txt","ZH_R_E_05_L","05","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"05-ZHRE-L-RF1.txt","ZH_R_E_05_L","05","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"05-ZHRF-L-LF1.txt","ZH_R_F_05_L","05","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"05-ZHRF-L-RF1.txt","ZH_R_F_05_L","05","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"05-ZHUA-L-LF1.txt","ZH_U_A_05_L","05","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"05-ZHUA-L-RF1.txt","ZH_U_A_05_L","05","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"05-ZHUB-L-LF1.txt","ZH_U_B_05_L","05","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"05-ZHUB-L-RF1.txt","ZH_U_B_05_L","05","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"06-ZHRD-L-LF1.txt","ZH_R_D_06_L","06","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"06-ZHRD-L-RF1.txt","ZH_R_D_06_L","06","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"06-ZHRE-L-LF1.txt","ZH_R_E_06_L","06","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
