"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"05-ZHUB-P-LF1_rep.txt","ZH_U_B_05_P","05","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Forewing",1,2
"05-ZHUB-P-LF1.txt","ZH_U_B_05_P","05","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Forewing",1,1
"05-ZHUB-P-LF2.txt","ZH_U_B_05_P","05","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Left","Forewing",2,1
"05-ZHUB-P-RF1_rep.txt","ZH_U_B_05_P","05","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Forewing",1,2
"05-ZHUB-P-RF1.txt","ZH_U_B_05_P","05","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Forewing",1,1
"05-ZHUB-P-RF2.txt","ZH_U_B_05_P","05","ZH","U","Urban","B","ZH-B","ZH-Urban","P","Bombus pascuorum","Right","Forewing",2,1
"05-ZHUC-P-LF1.txt","ZH_U_C_05_P","05","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Left","Forewing",1,1
"05-ZHUC-P-RF1.txt","ZH_U_C_05_P","05","ZH","U","Urban","C","ZH-C","ZH-Urban","P","Bombus pascuorum","Right","Forewing",1,1
"06-ZHRD-P-LF1.txt","ZH_R_D_06_P","06","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Left","Forewing",1,1
"06-ZHRD-P-RF1.txt","ZH_R_D_06_P","06","ZH","R","Rural","D","ZH-D","ZH-Rural","P","Bombus pascuorum","Right","Forewing",1,1
"06-ZHRF-P-LF1_rep.txt","ZH_R_F_06_P","06","ZH","R","Rural","F","ZH-F","ZH-Rural","P","Bombus pascuorum","Left","Forewing",1,2
